EVENT_DATE,YEAR,EVENT_TYPE,SUB_EVENT_TYPE,ACTOR1,ASSOC_ACTOR_1,INTER1,ACTOR2,ASSOC_ACTOR_2,INTER2,INTERACTION,REGION,COUNTRY,LOCATION,LATITUDE,LONGITUDE,SOURCE,SOURCE_SCALE,FATALITIES,TIMESTAMP
18-Sep-20,2020,Protests,Peaceful protest,Protesters (Bahrain),February 14 Youth Coalition,6,,,0,60,Middle East,Bahrain,Sanabis,26.227,50.551,14 February Revolution Youth Coalition,Other,0,1618873886
18-Sep-20,2020,Protests,Peaceful protest,Protesters (Bahrain),February 14 Youth Coalition,6,,,0,60,Middle East,Bahrain,Sitrah,26.155,50.621,14 February Revolution Youth Coalition,Other,0,1618873886
18-Sep-20,2020,Protests,Peaceful protest,Protesters (Bahrain),February 14 Youth Coalition,6,,,0,60,Middle East,Bahrain,Tubli,26.187,50.549,14 February Revolution Youth Coalition,Other,0,1618873886
18-Sep-20,2020,Protests,Peaceful protest,Protesters (Bahrain),February 14 Youth Coalition,6,,,0,60,Middle East,Bahrain,Abu Saybi,26.218,50.507,14 February Revolution Youth Coalition,Other,0,1618873887
18-Sep-20,2020,Protests,Peaceful protest,Protesters (Bahrain),February 14 Youth Coalition,6,,,0,60,Middle East,Bahrain,Al Diraz,26.218,50.471,14 February Revolution Youth Coalition,Other,0,1618873887
18-Sep-20,2020,Protests,Peaceful protest,Protesters (Bahrain),February 14 Youth Coalition,6,,,0,60,Middle East,Bahrain,Al Hamalah,26.143,50.459,14 February Revolution Youth Coalition,Other,0,1618873887
18-Sep-20,2020,Protests,Peaceful protest,Protesters (Bahrain),February 14 Youth Coalition,6,,,0,60,Middle East,Bahrain,Al Markh,26.21,50.473,14 February Revolution Youth Coalition,Other,0,1618873888
18-Sep-20,2020,Protests,Peaceful protest,Protesters (Bahrain),February 14 Youth Coalition,6,,,0,60,Middle East,Bahrain,Ash Shakhurah,26.215,50.507,14 February Revolution Youth Coalition,Other,0,1618873888
18-Sep-20,2020,Protests,Peaceful protest,Protesters (Bahrain),February 14 Youth Coalition,6,,,0,60,Middle East,Bahrain,Bu Quwa,26.205,50.52,14 February Revolution Youth Coalition,Other,0,1618873888
18-Sep-20,2020,Protests,Peaceful protest,Protesters (Bahrain),February 14 Youth Coalition,6,,,0,60,Middle East,Bahrain,Karranah,26.229,50.509,14 February Revolution Youth Coalition,Other,0,1618873889
